NIM,Tahun_Masuk,Jalur_Masuk,UKT,IPK_Lulus,IP_Sem1,IP_Sem2,IP_Sem3,IP_Sem4,Kehadiran,Penggunaan_Lentera,SKS_Lulus_Sem3,SKS_Lulus_Sem4,MK_Mengulang_Sem3,MK_Mengulang_Sem4,Cuti,Semester_Lulus,Kelulusan
SI20220074,2022,Prestasi,Kategori 4,3.3,3.13,3.1,3.63,3.23,84.9,5.4,61.0,82.0,1,2,ya,7,Tidak Tepat Waktu
SI20210075,2021,Tes,Kategori 3,3.34,3.06,3.31,3.88,3.08,71.1,14.0,59.0,79.0,2,2,Tidak,9,Tidak Tepat Waktu
SI20230076,2023,Mandiri,Kategori 4,3.19,2.97,,3.2,3.44,73.8,8.1,,,2,3,Tidak,11,Tidak Tepat Waktu
SI20210077,2021, PRESTASI,Kategori 3,3.16,,3.14,3.06,3.36,69.5,2.1,,,2,2,Tidak,13,Tidak Tepat Waktu
SI20210078,2021,,9.0,3.01,3.0,2.97,2.86,3.3,78.2,4.2,48.0,67.0,3,3,Tidak,9,Tidak Tepat Waktu
SI20230079,2023,Mandiri,Kategori 1,2.84,3.04,2.81,2.82,2.62,94.8,6.5,50.0,62.0,2,4,Tidak,14,Tidak Tepat Waktu
SI20230080,2023,Prestasi,Kategori 6,3.15,2.72,2.98,3.16,3.69,82.4,6.6,54.0,76.0,1,2,Tidak,8,Tepat Waktu
SI20210081,2021,Prestasi,Kategori 3,2.75,2.86,2.77,2.66,2.48,82.2,6.5,46.0,55.0,3,4,,11,Tidak Tepat Waktu
SI20230082,2023,Tes,Kategori 3,3.2,3.13,3.4,3.36,2.9,56.0,8.3,59.0,74.0,2,3,Tidak,9,Tidak Tepat Waktu
SI20230083,2023,Prestasi,,3.36,3.44,3.25,3.47,3.49,80.0,1.6,57.0,77.0,2,2,Tidak,10,Tidak Tepat Waktu
SI20230084,2023,Mandiri,Kategori 4,3.45,3.71,3.41,3.29,3.43,77.4,8.9,60.0,82.0,0,1,Tidak,8,Tepat Waktu
SI20210085,2021,Mandiri,Kategori 6,2.88,,3.04,3.08,2.59,83.4,6.9,,,1,2,Tidak,10,Tidak Tepat Waktu
SI20210086,2021,Prestasi,Kategori 2,3.3,,3.88,3.06,2.99,76.5,6.4,,,1,2,Tidak,8,Tepat Waktu
SI20210087,2021,Prestasi,Kategori 3,2.78,2.69,3.01,2.7,2.71,73.2,2.6,48.0,63.0,2,2,Tidak,10,tidak tepat waktu
SI20230088,2023,Tes,Kategori 3,3.04,2.97,3.07,3.37,2.78,92.0,3.2,57.0,70.0,2,3,Tidak,11,Tidak Tepat Waktu
SI20230089,2023,Mandiri,Kategori 4,3.31,3.68,3.08,3.13,,82.0,4.9,59.0,,0,2,Tidak,8,Tepat Waktu
SI20210090,2021,Tes,Kategori 1,3.12,3.02,2.92,2.83,3.69,80.9,4.4,50.0,72.0,1,2,Tidak,9,Tidak Tepat Waktu
SI20220091,2022,Mandiri,Kategori 3,2.96,3.01,2.8,2.64,3.4,72.0,2.4,49.0,68.0,2,3,Tidak,11,Tidak Tepat Waktu
SI20230092,2023,Tes,Kategori 4,3.37,3.53,3.34,3.37,3.16,72.3,2.7,56.0,74.0,3,4,Tidak,12,Tidak Tepat Waktu
SI20230093,2023,Prestasi,Kategori 5,3.84,3.98,3.64,3.89,,89.2,5.5,64.0,,0,0,ya,8,Tidak Tepat Waktu
SI20210094,2021,Prestasi,Kategori 5,3.73,4.0,3.69,3.65,3.68,91.3,6.9,63.0,87.0,0,0,Tidak,8,Tepat Waktu
SI20220095,2022,Mandiri,Kategori 3,3.06,3.19,3.0,3.43,2.71,85.8,,58.0,72.0,2,3,Tidak,10,Tidak Tepat Waktu
SI20230096,2023,Tes,Kategori 6,3.0,3.1,3.11,3.12,2.67,115.0,5.2,56.0,69.0,2,3,Tidak,9,Tidak Tepat Waktu
SI20230097,2023,tes,Kategori 3,3.29,3.59,,3.31,3.07,78.6,9.7,,,2,2,Ya,9,Tidak Tepat Waktu
SI20220098,2022, TES ,Kategori 4,,2.98,3.27,3.22,2.63,81.1,6.3,58.0,72.0,0,2,,12, Tepat Waktu 
SI20230099,2023,tes,Kategori 5,3.31,2.96,3.82,3.16,3.47,80.1,7.2,60.0,82.0,0,1,Tidak,8,Tepat Waktu
SI20210100,2021,Prestasi,Kategori 1,2.96,3.4,2.97,2.55,2.85,86.5,3.6,48.0,61.0,2,2,Tidak,13,Tidak Tepat Waktu
SI20210004,2021,Tes,Kategori 3,3.62,3.11,3.85,3.65,3.88,94.2,8.4,58.0,79.0,2,2,Tidak,8,Tepat Waktu
SI20220029,2022,,Kategori 4,3.28,2.91,4.8,3.43,3.49,83.5,,59.0,79.0,1,2,tidak,8,Tepat Waktu
SI20230096,2023,Tes,Kategori 6,3.0,3.1,3.11,3.12,2.67,115.0,5.2,56.0,71.0,2,3,Tidak,9,Tidak Tepat Waktu
SI20210053,2021,Mandiri,Kategori 4,2.81,2.85,2.89,2.53,3.0,89.7,10.7,48.0,64.0,1,3,Tidak,11,Tidak Tepat Waktu
SI20230041,2023,Tes,Kategori 4,2.75,2.67,2.73,3.05,2.33,77.6,5.0,50.0,60.0,4,5,Tidak,9,Tidak Tepat Waktu
